Program Time [s],data 0,data 1
6.02386,517.24,514.6
6.04433,515.99,514.48
6.06482,515.19,513.78
6.08926,514.35,513.43
6.10982,515.48,512.14
6.13031,513.79,511.91
6.15082,512.83,510.73
6.17122,511.86,510.78
6.19172,511.49,510.43
6.2162,510.99,510.94
6.23676,511.59,511.75
6.25726,512.48,512.8
6.27773,511.38,512.44
6.29829,511.3,511.95
6.31866,510.24,511.56
6.34325,509.39,512.65
6.36384,508.92,513.12
6.38418,509.53,513.9
6.40484,507.63,514.32
6.42523,507.5,514.45
6.44976,508,514.76
6.4702,508.6,514.01
6.49095,509.48,514.01
6.51117,510.58,512.81
6.53168,510.27,510.65
6.55212,509.81,508.92
6.57669,509.25,509.13
6.59724,509.2,508.31
6.61775,509.96,508.05
6.63829,511.17,509.04
6.65867,512.13,510.43
6.68326,513.31,511.14
6.70365,512.65,512.31
6.72422,512.52,515.05
6.74463,513.21,515.24
6.76513,511.77,516.79
6.78559,511.02,516.43
6.81018,510.41,516.55
6.83065,509.93,515.04
6.85111,510.34,513.83
6.87158,508.28,512.46
6.89209,508.62,511.77
6.91662,508.7,511.22
6.9371,508.96,510.77
6.9577,508.57,511.42
6.97809,509.25,511.94
6.9986,511.8,513.15
7.01903,514.24,512.52
7.04355,517.39,512.01
7.06414,518.11,511.21
7.08459,519.89,510.57
7.10505,520.71,511.46
7.12559,520.37,512.16
7.15003,519.7,512.73
7.17057,517.96,512.99
7.19108,517.97,513.19
7.21166,515.57,512.75
7.23208,514.26,511.2
7.25255,513.61,510.96
7.27702,515.89,510.57
7.2977,514.91,510.85
7.31818,512.93,511.08
7.33859,510.34,511.67
7.3592,512.87,512.73
7.38368,518.3,514.39
7.40412,520.44,515.31
7.42454,519.75,517.25
7.44513,518.8,518.4
7.46567,518.64,520.32
7.48609,517.31,520.65
7.51075,517.85,520.12
7.53101,518.08,518.9
7.5516,516.86,517.72
7.57198,514.69,516.58
7.59252,513.15,515.06
7.61294,514.32,512.85
7.63764,515.46,511.88
7.65808,515.57,510.7
7.67855,515.85,510.36
7.69901,515.88,509.09
7.71978,517.51,510.07
7.74392,515.8,513.26
7.76453,518.24,543.01
7.78501,512.8,555.2
7.80554,502.44,605.16
7.82611,506.15,676.93
7.84646,512.92,740.74
7.871,524.54,788.6
7.89148,532.63,815.08
7.91198,539.1,809.66
7.93251,543.48,770.73
7.95288,542.59,711.18
7.97758,543.67,640.35
