Program Time [s],data 0,data 1
7.32697,504.52,511.67
7.32698,504.62,512.73
7.32699,504.69,514.79
7.327,502.96,517.23
7.32701,503.56,520.78
7.32702,501.45,523.03
7.32703,518.63,516.11
7.32704,505.82,513.09
7.32705,502.65,511.67
7.32706,504.52,512.73
7.32707,504.62,514.79
7.32708,504.69,517.23
7.32709,502.96,520.78
7.3271,503.56,523.03
7.32711,501.45,511.2
8.84218,510.6,511.16
8.86257,509.88,511.73
8.88301,506.9,511.78
8.90751,506.12,513.63
8.92811,507.3,516.1
8.94858,506.84,518.88
8.96907,505.47,521.1
8.98954,504.78,523.88
9.01402,503.82,528.11
9.03455,502.26,529.49
9.05509,502.61,529.19
9.07554,500.88,528.95
9.09601,500.51,528.16
9.11651,502.01,525.13
9.14103,500.8,521.7
9.16152,502.44,519.16
9.182,500.76,517.73
9.20249,500.2,513.98
9.22299,501.56,512.79
9.24751,503.25,511.83
9.26803,501.8,510.26
9.28856,503.24,511.61
9.30898,504.39,514.09
9.3295,503.51,518.27
9.34997,505.61,521.02
9.37454,507.49,522.61
9.39506,512.59,523.89
9.41553,523.87,525.91
9.43602,528.9,526.93
9.45652,531.32,525.54
9.48099,532.65,524.04
9.50154,532.72,523.23
9.52196,528.78,520.98
9.54247,525.82,518.39
9.56301,522.46,515.71
9.58349,519.37,513.17
9.60794,518.49,511.93
9.62851,518.99,512.55
9.64895,516.6,518.44
9.6695,516.68,524.95
9.68995,517.54,547.76
9.7104,515.63,583.21
9.7349,514.91,612.17
9.75564,511.73,621.33
9.77595,510.78,611.27
9.79648,508.42,592.21
9.81698,505.54,570.37
9.84138,503.83,553.7
9.86193,505.47,548.56
9.88242,503.17,559.85
9.90289,501.34,575.88
9.9234,498.47,578.7
9.94388,497.38,564.16
9.96841,497.9,541.73
9.98896,499.92,517.58
10.0094,501.74,497.87
10.0299,503.19,485.29
10.0504,506.55,476.83
10.0749,506.44,471.87
10.0954,506.95,472.49
10.1159,507.16,473.8
10.1364,506.33,476.04
10.1568,507.46,478.83
10.1774,505.17,482.46
10.2018,499.34,484.37
10.2224,500.27,484.9
10.2428,501.42,486.32
10.2634,500.93,486.65
10.2838,501.35,487.52
10.3083,501.28,487.42
10.3288,505.02,486.73
10.3494,505.42,487.39
10.3698,505.73,490.31
10.3903,505.19,495.05
10.4108,507.35,500.84
10.4353,509.08,507.47
10.4559,511.66,512.98
10.4765,511.93,517.38
10.497,510.74,520.71
10.5174,508.8,523.76
10.5417,506.44,524.21
10.5623,507.35,526.17
10.5828,508.68,525.94
10.6033,508.34,523.95
10.6237,504.27,522.16
10.6442,501.82,519.13
10.6687,501.46,516.7
10.6894,499.36,514.36
10.7098,498.29,514.09
10.7302,497.03,514.67
10.7508,496.63,517.54
10.7754,497.7,519.63
10.7959,498.76,525.3
10.8164,500.41,528.04
10.8369,499.53,533.43
10.8573,502.22,534.75
10.8778,501.58,539
10.9022,504.46,542
10.9227,508.77,541.2
10.9433,505.62,534.36
10.9638,503.09,526.69
10.9842,508.47,523.15
11.0048,510.58,519.92
11.0293,507.46,517.94
11.0498,503.77,517.15
11.0703,502.82,516.52
11.0907,501.65,516.62
11.1112,502.12,517.69
11.1356,501.7,518.95
11.1562,500.16,521.16
11.1768,501.93,524.93
11.1972,501.14,528.54
11.2177,502.11,531.84
11.2381,500.49,533.87
11.2628,497.19,533.89
11.2833,498.75,532.52
11.3038,498.4,529.21
11.3242,499.12,525.17
11.3448,496.3,521.74
11.3692,497.24,519.79
11.3898,496.99,521.23
11.4102,499.39,535.18
11.4307,501.51,558.15
11.4512,502.01,584.92
11.4717,502.21,596.93
11.4962,504.57,591.55
11.5167,507.45,579.44
11.5371,508.56,567.15
11.5577,511.05,558.92
11.5781,510.24,563.94
11.6026,508.79,579.95
11.6231,506.23,587.56
11.6437,503.99,576.65
11.6642,505.19,556.12
11.6847,504.95,533.69
11.7052,500.96,511.76
11.7296,498.97,493.4
11.7502,496.98,478.92
11.7708,498.78,468.54
11.7912,500.82,461.83
11.8116,499.06,459.06
11.8361,499.05,460.65
11.8566,500.24,464.32
11.8772,502.99,469.46
11.8976,503.99,475.97
11.918,503.79,483.17
11.9385,502.84,489.74
11.963,503.47,495.59
11.9836,505.77,499.27
12.0041,505.22,503.82
12.0246,504.38,506.05
12.0452,505.5,507.84
12.0656,503.6,508.27
12.09,504.08,509.02
12.1106,503.06,508.02
12.1311,502.25,507.61
12.1516,501,506.49
12.172,499.4,509.99
12.1965,501.52,511.59
12.2171,502.22,518.67
12.2375,503.77,515.94
12.2581,494.42,517.35
12.2787,486.13,522.08
12.2989,487.31,526.67
12.3235,493.85,531.73
12.344,504.28,531.59
12.3645,504.82,530.87
12.385,503.46,528.09
12.4056,503.77,525.48
12.43,503.41,523.78
12.4506,499.93,521.42
12.4712,498.94,519.34
12.4916,497.36,516.87
12.5121,494.88,515.1
12.5324,495.11,514.28
12.557,494.69,515.42
12.5775,493.55,517.94
12.598,494.84,520.95
12.6184,498.27,523.76
12.6389,499.22,527.61
12.6635,499.37,530.49
12.684,498.5,533.99
12.7046,499.8,534.79
12.725,500.64,535.63
12.7454,500.31,535.31
12.7659,501.05,533.85
12.7904,498.84,530.28
12.8109,498.67,527.02
12.8314,496.54,523.62
12.8519,497.03,520.29
12.8724,496.22,518.43
12.8968,494.98,516.55
12.9174,495.18,515.64
12.9379,495.75,516.31
12.9584,495.4,518.05
12.979,497.12,519.64
12.9994,498.09,521.51
13.0239,498.68,524.01
13.0445,497.94,526.61
13.0649,497.55,527.69
13.0853,497.44,529.55
13.1058,499.35,528.64
13.1263,497.08,527.91
13.1509,496.87,525.73
13.1714,497.49,522.58
13.192,498.79,519.27
13.2124,498.24,517.01
13.2328,496.79,514.61
13.2574,497.03,513.09
13.2778,499.02,513.07
13.2984,497.82,514.26
13.3188,500.66,515.81
13.3393,498.52,519.84
13.3598,498.42,523.08
13.3843,499.14,525.86
13.4049,501.31,528.09
13.4254,500.45,529.47
13.4459,501.76,530.38
13.4663,502.81,530.7
13.4908,503.84,528.96
13.5114,505.08,527.37
13.5319,504.86,524.5
13.5523,503.29,521.6
13.5728,502.43,518.28
13.5934,502.94,517.82
13.6179,503.76,516.66
13.6383,504.4,534.13
13.6588,502.92,562.5
13.6793,502.74,591
13.6998,506.59,601.2
13.7243,509.47,591.96
13.7448,510.38,579.17
13.7653,510.5,568.53
13.7859,507.6,567.83
13.8064,508.48,582.26
13.8269,508.59,595.21
13.8514,508.47,589.57
13.8719,508.37,567.65
13.8924,507.7,541.52
13.9128,504.76,516.22
13.9333,503.21,494.58
13.9537,501.97,477.06
13.9783,502.97,464.05
13.9987,502.78,456.64
14.0192,501.02,454.31
14.0399,500.62,456.45
14.0602,501.09,460.36
14.0847,501.08,467.09
14.1052,501.86,474.47
14.1257,500.89,481.18
14.1462,502.11,488.54
14.1668,503.29,494.63
14.1872,502.03,499.11
14.2117,501.42,502.28
14.2323,501.74,505.23
14.2528,499.99,505.78
14.2731,500.39,505.43
14.2936,498.71,505.14
14.3181,498.17,503.51
14.3387,497.74,503.01
14.3592,497.59,503.21
14.3797,496.47,503.37
14.4002,497.98,505.69
14.4208,497.78,509.35
14.4453,499.23,513.68
14.4656,501.78,517.55
14.4861,500.62,522.84
14.5067,500.9,526.27
14.5271,501.32,528.82
14.5516,503.06,531.25
14.5721,504.84,531.2
14.5926,504.08,530.56
14.6131,502.86,528.85
14.6336,501.09,526.08
14.6541,501.07,523.66
14.6785,501.26,521.13
14.6991,500.41,518.5
14.7198,498.92,517.2
14.7401,496.54,517.56
14.7606,502.03,519.05
14.781,506.43,519.44
14.8057,507.74,521.55
14.8261,508.19,524.44
14.8466,507.55,527.55
14.8671,508.64,530.44
14.8876,507.71,532.75
14.912,505.77,533.6
14.9326,502.02,533.68
14.9531,500.81,533.95
14.9737,497.85,532.96
14.994,503.68,531.77
15.0146,505.34,528.01
15.0391,506.28,524.21
15.0596,506.62,520.97
15.0801,505.3,517.77
15.1006,504.84,517.02
15.1211,503.07,516.62
15.1455,502.66,517.09
15.1661,502.52,520.87
15.1865,501.42,524.9
15.2071,502.14,527.92
15.2275,503.91,532.54
15.248,506.73,534.83
15.2725,506.58,535.86
15.2931,505.87,536.49
15.3136,504.29,534.99
15.334,504.43,532.79
15.3546,505.75,531.03
15.379,504.4,527.83
15.3996,499.92,524.46
15.42,499.13,521.17
15.4406,500.11,518.94
15.461,499.09,516.55
15.4815,499.67,516.24
15.5059,499.34,517.79
15.5266,502.07,517.83
15.5469,501.45,518.87
15.5675,502.76,521.09
15.588,504.21,523.07
15.6124,504.17,525.66
15.633,504.34,527.53
15.6537,504.07,528.62
15.6739,502.65,529.3
15.6946,500.72,528.04
15.7149,498.58,525.83
15.7394,498.06,523.86
15.7601,500.05,520.69
15.7804,498.84,519.75
15.801,500.27,517.6
15.8215,500.02,515.68
15.8419,501.01,514.55
15.8665,503.01,516.44
15.8869,503.61,517.95
15.9074,504.49,519.96
15.9279,504.59,523.97
15.9484,506.47,527.77
15.9729,505.18,532.02
15.9934,503.74,534.62
16.0139,501.79,535.69
16.0345,502.83,534.55
16.055,504.27,533.44
16.0754,503.01,531.35
16.1,499.81,528.48
16.1204,498.45,525.39
16.1412,498.36,522.31
16.1616,498.69,520.05
16.182,498.55,516.64
16.2063,496.84,514.91
16.2268,496.07,515.33
16.2474,496.06,517.26
16.2679,497.85,519.01
16.2883,498.48,521.21
16.3088,499.78,523.17
16.3334,502.23,525.13
16.354,502.38,526.91
16.3746,501.3,527.73
16.3949,502.24,527.58
16.4154,500.39,526.46
16.44,499.92,526.57
16.4605,497.13,529.66
16.4809,495.31,541.73
16.5013,496.84,569.98
16.5219,495.68,596.58
16.5423,494.74,602.47
16.567,493.99,591.37
16.5874,495.79,573.1
16.6079,497.44,556.08
16.6284,499.55,544.26
16.6488,500.84,555.41
16.6733,502.07,582.73
16.6939,502.26,603.18
16.7143,502.61,604.95
16.7349,502.28,587.96
16.7553,505.63,559.97
16.7758,508.7,530.37
16.8003,511.96,506.7
16.8208,514.57,487.16
16.8414,513.46,472.13
16.862,512.76,461.5
16.8825,510.41,456.8
16.9068,508.53,454.84
16.9273,508.22,455.87
16.9479,508.38,458.7
16.9684,508.3,462.56
16.9888,507.84,469.85
17.0095,508.87,478.08
17.0337,508.3,486.06
17.0542,508.24,493.85
17.0747,508.39,500.08
17.0952,508.31,505.06
17.1157,508.25,509.05
17.1363,506.4,512.04
17.1607,504.12,513.63
17.1813,503.9,513.91
17.2019,501.52,512.92
17.2222,499.21,511.74
17.2428,498.97,509.79
17.2672,498.78,508.83
17.2878,499.42,507.87
17.3084,499.74,508.29
17.3287,498.99,509.83
17.3494,499.79,511.67
17.3697,501.63,515.73
17.3941,501.51,520.19
17.4147,503.41,523.75
17.4351,504.52,525.6
17.4556,507.02,527.48
17.4761,506.02,528.38
17.5006,504.61,528.91
17.5211,505.09,528.53
17.5416,505.87,527.02
17.5621,505.1,524.62
17.5826,502.88,522.29
17.6031,501.7,519.83
17.6276,500.96,516.67
17.6481,497.37,515.13
17.6686,496.3,514.71
17.6892,497.44,514.17
17.7097,497.75,515.13
17.7341,496.4,516.71
17.7546,497.52,520.56
17.7754,499.22,523.85
17.7956,501.17,526.88
17.8161,502.14,529.51
17.8366,502.31,531.2
17.8611,501.05,530.76
17.8816,501.64,529.41
17.9022,499.11,526.93
17.9227,499.09,524.34
17.943,498.67,521.07
17.9636,497.94,517.66
17.9881,497.75,516.53
18.0086,498.2,514.02
18.029,497.76,513.42
18.0498,496.41,512.93
18.07,497.93,513.55
18.0945,498.14,514.84
18.1152,500.31,516.67
18.1356,501.25,519.54
18.1561,503.6,521.23
18.1767,504.28,523.18
18.197,506.02,523.55
18.2217,506.42,524.44
18.2423,505.94,523.55
18.2626,505.35,522.44
18.2831,505.08,520.75
18.3035,503.86,518.6
18.328,503.09,515.88
18.3485,503.07,512.7
18.3692,502.06,510.76
18.3895,501.05,509.01
18.4101,501.44,508.61
