Program Time [s],data 0,data 1
3.47729,507.87,471.05
3.4773,513.7,481.04
3.47731,502.96,470.03
3.47732,517.57,476.23
3.47733,512.05,474.58
4.99442,511.6,514
5.01492,515.28,517
5.03544,514.62,521.6
5.05587,513.3,523.28
5.08035,514.04,528.02
5.1009,514.63,531.42
5.12141,513.71,530.34
5.14193,512.96,532.67
5.16236,511.97,528.73
5.18288,510.58,525.19
5.20738,511.46,522.95
5.22786,512.37,520.76
5.24836,512.9,515.61
5.26892,514.12,511.49
5.28938,516.69,511.79
5.3138,516.75,511.43
5.33447,517.6,513.95
5.35506,516.68,515.76
5.37539,516.55,518.2
5.39586,514.04,524.56
5.41639,514.43,528.65
5.44089,512.14,529.72
5.46132,509.51,530.58
5.48197,509.01,531.46
5.50235,507.21,531.37
5.52278,504.77,528.9
5.54329,505.41,523.12
5.56778,507.53,518.69
5.58831,507.43,514.55
5.60878,508.14,507.84
5.62928,511.31,505.87
5.64993,512.05,504.9
5.67425,514.84,506.12
5.69482,512.67,507.9
5.71528,510.74,512.12
5.7358,506.79,516.29
5.75624,513.43,518.83
5.77673,517.95,521.67
5.80128,521.56,522.73
5.82183,523.05,526.39
5.84226,522.44,529.11
5.86274,518.35,530.69
5.88322,518.48,529.55
5.90773,518.98,526.24
5.92833,521.39,524.39
5.94877,522.51,523.71
5.96932,520.61,520.57
5.9898,518.29,517.86
6.01023,517.83,516.89
6.03477,517.86,518.71
6.05528,516.69,517.37
6.07575,515.95,508.29
6.09622,514.76,494.03
6.11671,511.41,479.43
6.14118,504.13,462.34
6.16171,497.9,452.27
6.18223,493.72,441.62
6.20273,490.38,432.1
6.22327,495.3,430.48
6.24378,495.24,428.18
6.26821,495.59,429.54
6.28875,496.07,433.64
6.30924,497.66,441.11
6.32968,499.93,446.49
6.35015,496.74,466.79
6.37464,486.99,516.43
6.39527,473.4,587.55
6.41572,460.92,657.64
6.43621,448.93,719.91
6.45663,442.75,770.53
6.4771,439.4,798.62
6.50162,446.32,803.1
6.52215,460.65,786.88
6.54268,481.32,742.3
6.56313,508.06,679.44
6.5836,532.05,609.55
6.60807,549.84,548.64
6.62867,561.07,502.71
6.64921,566.66,470.77
6.66967,565.52,449.82
6.69018,563.62,435.25
6.71059,563.7,428.8
6.73508,559.76,425.84
6.75572,557.81,429.07
6.77624,554.04,436.06
6.79664,544.44,442.45
6.81712,539.15,454.76
6.83772,533.52,466.61
6.86206,531.61,476.49
6.88265,526.09,484.79
6.90337,522.67,491.23
6.92367,520.14,497.78
6.94408,519.71,501.83
6.96861,516.77,503.46
6.98908,515.02,504.37
7.00957,512.01,504.7
7.03007,511.21,503.36
7.05059,514.97,500.69
7.07104,512.97,498.15
7.09552,511.18,496.12
7.11611,511.54,498.49
7.13657,512.03,502.2
7.15705,510.03,504.56
7.17763,512.02,509.85
7.20202,511.82,515.08
7.22257,511.65,521.06
7.24303,511.72,525.25
7.26356,510.78,529.6
