Program Time [s],data 0,data 1
9.5948,515.65,527.81
9.59482,514.72,531.25
9.59483,512.58,533.6
9.59484,511.46,540.08
9.59485,511.57,557.66
11.1112,511.4,511.4
11.1317,510.52,508.72
11.1522,509.42,505.98
11.1767,508.13,503.98
11.1972,506.91,501.78
11.2178,506.92,501.03
11.2382,506.94,500.82
11.2587,505.35,504.46
11.2791,504.88,509.57
11.3036,504.51,513.25
11.3242,504,518
11.3447,504.8,522.8
11.3652,503.84,525.84
11.3857,504.07,527.07
11.4062,505.06,528.46
11.4307,506.85,528.37
11.4512,508.48,526.49
11.4717,508.58,523.39
11.4922,508.27,519.92
11.5126,508.01,515.33
11.5371,509.41,511.27
11.5578,510.13,508.01
11.5781,511.1,505.21
11.5987,510.68,504.17
11.6192,507.55,506.33
11.6396,506.64,510.47
11.6641,505.11,514.17
11.6847,506.69,519.34
11.7052,507.95,523.07
11.7256,508.76,525.46
11.7461,510.41,525.97
11.7705,509.93,526.37
11.7911,508.94,526.9
11.8116,508.15,525.12
11.832,508.72,521.49
11.8525,508.98,518.8
11.873,513.98,512.24
11.8975,520.39,505.59
11.9181,523.71,502.67
11.9386,527.57,501.34
11.959,530.05,502.87
11.9795,529.64,504.9
12.004,528.31,507.72
12.0246,527.85,511.37
12.0451,525.48,516.7
12.0656,523.58,521.36
12.0861,521.07,525.89
12.1064,519.85,528.51
12.131,518.08,528.81
12.1516,517.67,528.05
12.1722,518.33,526.04
12.1925,517.67,522.63
12.2131,515.93,520.1
12.2375,514.35,516.68
12.2582,513.68,513.35
12.2785,514.14,510.68
12.2991,513.31,509.54
12.3194,512.85,509.03
12.34,513.08,511.43
12.3645,512.86,514.54
12.3851,513.09,518.43
12.4055,511.07,522.15
12.4261,510.06,526.92
12.4466,508.45,530.73
12.4709,508.16,533.39
12.4916,508.93,534.31
12.512,508.94,533.85
12.5327,508.75,533.68
12.5531,507,532.54
12.5736,508.2,523.43
12.598,508.36,506.55
12.6185,510.49,484.64
12.639,509.19,458.91
12.6595,508.15,434.93
12.68,506.72,415.74
12.7005,505.78,403.39
12.725,504.42,399.52
12.7455,503.34,401.01
12.766,503.07,408.41
12.7864,502.86,419.73
12.8069,501.89,431.58
12.8316,501.71,443.07
12.8519,501.57,453.05
12.8724,500.85,462.04
12.8929,501.68,481.03
12.9135,503.35,521.23
12.934,506.28,569.18
12.9584,507.22,608.35
12.9791,507.98,626.68
12.9996,508.38,630.74
13.0201,511.51,627.19
13.0404,512.8,618.15
13.0649,512.44,608.92
13.0855,513.15,598.54
13.106,512.92,590.63
13.1264,512.14,583.3
13.1468,512.51,577.24
13.1674,512.41,570.2
13.1919,512.93,565.16
13.2124,511.14,559.12
13.2329,511.51,553.1
13.2534,511.41,547.08
13.274,510.33,540.86
13.2985,510.06,534.09
13.3188,510.45,528.47
13.3395,510.56,522.98
13.3598,508.05,518.18
13.3803,507.24,515.35
13.4009,508.79,514.08
13.4253,507.03,514.66
13.4459,505.23,515.13
13.4664,506.98,519.1
13.4868,505.98,522.28
13.5073,506.19,525.43
13.5317,507.75,527.74
13.5524,506.2,528.79
13.5728,506.36,528.83
13.5933,505.89,527.67
13.6138,506.91,525.53
13.6343,506.53,522.63
13.6588,506.82,519.1
13.6792,507.66,515.48
13.6998,506.53,510.99
13.7203,505.42,506.59
13.7408,508.74,504.67
13.7613,509.99,505.54
13.7857,509.79,507.63
13.8063,508.63,510.9
13.8267,508.91,515.72
13.8472,509.93,520.58
13.8678,509.34,523.06
13.8922,509.27,525.85
13.9127,509.22,527.68
13.9334,510.77,532.54
13.9538,510.82,534.04
13.9742,511.66,532.83
13.9947,511.92,529.86
14.0192,513.14,527.29
14.0398,510.91,523.23
14.0603,511.33,515.99
14.0807,512.86,512.59
14.1012,513.89,510.67
14.1256,513.51,510.74
14.1462,514.21,508.99
14.1667,517.97,510.19
14.1872,516.77,512.55
14.2076,511.62,511.44
14.2283,513.5,514.55
14.2526,512.6,520.84
14.2732,508.68,522.27
14.2937,507.14,523.02
14.3142,506.91,522.42
14.3346,505.33,521.13
14.3591,505.86,519.11
14.3796,506.49,519.08
14.4002,506.99,516.07
14.4207,507.19,514.25
14.4413,506.56,514.6
14.4617,504.04,516.88
14.4861,506.04,515.11
14.5066,507.23,516.68
14.5271,509.98,519.55
14.5476,511.79,522.84
14.5681,512.03,528.67
14.5925,507.82,535.14
14.6131,509.46,537.91
14.6336,507.37,538.93
14.6541,507.69,538.74
14.6747,507.75,539.39
14.6951,504.2,535.11
14.7195,505.56,531.49
14.7401,507.05,526.39
14.7606,507.04,522.91
14.7811,507.83,521.13
14.8015,504.67,522.31
14.822,503.13,525.04
14.8466,504.91,528.64
14.8672,504.92,528.31
14.8876,509.14,527.25
14.9082,506.51,521.8
14.9285,508.21,508.84
14.9531,508.97,490.47
14.9738,506.97,473.38
14.9942,507.18,454.1
15.0146,505.14,436.08
15.0351,504.51,421.06
15.0555,502.41,410.25
15.0802,499.53,403.2
15.1006,497.42,401.96
15.1212,496.14,405.37
15.1417,498.51,409.7
15.162,500.01,416.56
15.1865,500.41,423.84
15.2072,503.53,432.88
15.2275,504.62,448.5
15.2481,509.9,490.2
15.2685,516.12,548.76
15.289,519.09,600.61
15.3134,522.47,633.09
15.3341,525.58,646.67
15.3548,524.46,648.54
