Program Time [s],data 0,data 1
3.3673,514.7,519.09
3.36734,501.16,515.07
3.36737,491.73,514.46
3.36741,497.38,511.37
3.36744,502.91,506.29
3.36748,502.33,501.83
3.36751,504.26,496.07
4.88407,512.2,515.8
4.90452,514.36,518.04
4.92504,514.29,519.43
4.94544,511.63,521.55
4.97003,508.7,519.44
4.99056,504.76,516.55
5.01099,502.41,512.24
5.03154,503.33,509.39
5.05196,500.86,504.31
5.07643,499.09,499.85
5.09698,499.07,497.68
5.11756,500.86,498.14
5.13809,503.89,499.52
5.15848,506.31,503.41
5.17897,508.25,506.33
5.20348,509,511.06
5.22406,512.2,515.45
5.24452,509.96,519.76
5.265,509.17,522.21
5.28548,505.93,522.37
5.30993,505.55,520.49
5.33046,505.64,517.39
5.35104,505.91,514.12
5.37148,506.13,508.89
5.39192,507.3,504.91
5.41236,507.84,500.93
5.43694,508.47,498.35
5.45741,507.38,499.48
5.47796,516.7,498.78
5.49839,530.76,498.22
5.51888,539.01,500.78
5.54332,542.61,505.62
5.5639,543.69,509.9
5.58439,540.55,515.52
5.60491,536.24,520.82
5.62542,534.59,521.85
5.64584,528.87,523.08
5.67054,525.7,523.67
5.69096,520.16,520.33
5.71138,517.13,518.67
5.73192,516.5,514.33
5.75232,512.2,509.67
5.77685,507.16,507.13
5.79735,504.73,502.51
5.81795,504.38,500.41
5.8384,502.51,499.72
5.8589,502.41,500.38
5.87934,504.12,504.5
5.90385,505.9,506.8
5.92433,508.12,509.24
5.94487,511.9,515.59
5.96529,510.32,518.88
5.98593,507.45,521.9
6.00637,505.36,523.72
6.03083,503.89,523.78
6.05142,503.51,522.02
6.07188,501.01,518.42
6.09233,500.61,514.13
6.11293,500.09,507.91
6.13741,501.07,501.93
6.15787,500.26,498.34
6.17839,502.6,495.67
6.19886,500.48,495.94
6.21929,502.59,497.35
6.23973,505.07,499.88
6.26435,505.86,502.9
6.28493,508.68,507.12
6.30545,510.55,511.5
6.32596,513.04,514.6
6.34639,512.43,517.88
6.37075,510.54,519.7
6.39125,510.24,521.16
6.41195,507.39,518.33
6.43247,506.71,515.06
6.45286,503.37,512.45
6.47341,501.29,509.96
6.49768,502.04,504.37
6.51839,499.43,500.1
6.53884,492.94,494.88
6.55926,483.75,494.5
6.57966,477.8,492.8
6.60416,475.04,496.44
6.6248,477.43,499.95
6.64529,479.35,505.56
6.66576,480.88,508.25
6.68619,485.7,513.8
6.70672,487.16,516.84
6.73126,489.33,518.07
6.75173,491.06,519.86
6.77221,492.85,519.09
6.79266,495.88,516.47
6.81315,497.3,514.78
6.83366,497.04,514.62
6.85815,496.23,517.9
6.87867,491.59,529.32
6.89914,478.87,558.65
6.91975,456.5,599.92
6.94031,433.6,635.14
6.96481,414.68,651.91
6.98522,402.34,645.73
7.00573,395.67,624.78
7.02627,395.54,595.43
7.04683,398.83,563.74
7.06725,404.86,533.59
7.09172,416.09,507.87
7.1122,424.67,485.5
7.13262,431.34,468.6
7.15324,440.87,455.28
7.17369,448.1,446.42
7.19826,454.68,440.34
7.21864,461.94,435.07
7.23917,466.75,433.46
7.25976,469.2,433.37
7.28033,473.36,435.49
7.30069,481.49,439.19
7.32516,485.99,443.96
7.34564,495.59,451.36
7.3662,519.07,460.09
7.3866,555.26,468.47
7.40711,593.41,473.58
7.43154,624.73,479.26
7.4521,639.38,485.01
7.47264,644.3,488.61
7.49319,642.04,491.49
7.51367,633.24,492.19
7.5342,626.19,492.55
7.55862,615.15,491.44
7.57919,605.52,489.75
7.59962,595.02,488.2
7.62003,582.01,483.76
7.64071,573.21,483.21
7.66109,564.37,484.17
7.68569,556.49,485.13
7.7062,550.4,488.51
7.72676,548.32,493.01
7.74713,548.05,497.8
7.76762,545.84,503.84
7.79205,540.47,508.08
7.81249,535.98,510.86
7.83317,533.18,513.49
7.85364,529.15,514.39
7.87413,522.92,513.51
7.89458,523.33,512.81
7.919,518.47,510.05
7.9395,516.57,506.44
7.96001,513.86,501.75
7.98049,511.69,496.4
8.001,508.35,493.32
8.02557,511.48,490.46
8.0461,514.58,490.97
8.06651,517.27,494.37
8.08705,520.41,497.3
8.10747,521.93,502.24
8.12804,522.94,507.59
8.15255,524.36,514.87
8.17298,523.28,517.7
8.19351,522.83,520.96
8.21399,519.86,521.17
8.23439,518.89,522.73
8.25895,519.11,520.39
8.27952,513.89,515.51
8.29996,507.11,511.61
8.32059,503.49,505.09
8.34104,502.39,498.67
8.36136,503.51,495.34
8.38589,506.61,492.67
8.40642,508.49,493.73
8.42689,509.79,494.59
8.44736,508.03,497.27
8.46793,507.03,500.02
8.49241,507.42,504.41
8.51297,509.34,508.33
8.5334,509.87,513.26
8.55394,508.5,515.81
8.57434,507.6,516.65
8.59482,507.08,515.52
8.61932,505.66,514.22
8.6399,503.73,511.17
8.66036,501.58,507.54
8.68083,501.47,504.23
8.70132,501.37,500.98
8.72188,497.9,496.99
8.7465,491.92,493.39
8.76688,480.74,492.11
8.78738,476.59,492.69
8.80789,474.07,494.95
8.82833,474.06,498.96
8.85286,475.65,502.77
8.87346,475.92,507.82
8.89398,477.93,512.25
8.9143,481.75,516
8.93501,485.2,518.2
8.95534,487.36,518.76
8.97994,486.69,517.01
9.00031,487.95,512.81
9.02084,490.76,510.45
9.04149,491.21,507.36
9.06175,492.77,504.49
9.08636,493.81,501.79
9.10693,497.65,497.23
9.12747,501.72,495.58
9.14789,503.18,495.27
9.16846,505.34,496.01
9.18894,504.67,500.21
9.2134,506.54,505.57
9.23388,510.43,510.46
9.25435,510.14,514.76
9.27486,510.72,517.01
9.29536,511.77,519.01
9.31979,510.82,522.81
9.34026,508.05,522.65
9.36089,508.24,518.72
9.38122,506.19,516.77
9.40187,504.36,512.02
9.42224,503.08,506.81
9.4467,502.47,501.05
9.46727,504.17,498.04
9.48779,504.14,494.63
9.5083,509.11,495.71
9.52885,522.09,499.77
9.55333,532.67,502.21
9.57381,538.34,508.17
9.59425,540.67,513.14
9.6147,541.14,518.11
9.63527,539.71,523.09
9.65576,537.57,523.67
9.68034,534.25,525.54
9.70084,531.4,523.83
9.72136,528.72,521.86
9.74181,525.38,517.49
9.76232,522.5,513.59
9.7867,520.6,509.87
9.80724,518.28,511.7
9.82782,510.03,517.76
9.84836,493.42,559.21
9.86886,467.14,610.17
9.88916,440.91,640.33
9.91368,417.73,645.27
9.93419,401.78,628.81
9.95489,391.63,598.85
9.97535,387.3,566.28
9.99565,391.04,537.82
10.0162,394.43,511.66
10.0407,401.15,493.13
10.0612,411.92,478.9
10.0817,423.73,466.52
10.1022,429.99,459.22
10.1227,436.39,453.77
10.1471,441.71,449.42
10.1677,445.97,447.54
10.1882,451.78,447.83
10.2086,457.02,448.26
10.2291,468.62,451.81
10.2495,494.09,456.05
10.2741,532.67,460.44
10.2946,571.74,462.15
10.3152,606.59,465.72
10.3355,631.07,471.38
10.3561,640.06,477.3
10.3806,641.25,484.24
10.4011,637.6,490.19
10.4216,629.68,494.15
10.4421,620.54,496.52
10.4626,610.63,498.42
10.4831,598.51,497.54
10.5075,587.21,496.23
10.5282,576.16,493.78
10.5485,568.33,490.63
10.5693,560.87,489.7
10.5897,553.89,488.56
10.614,548.71,489.85
10.6346,545.97,495.08
10.6551,541.78,500.46
10.6757,538.82,505.57
10.6961,532.86,510.66
10.7165,530.49,514.73
10.7411,531.59,518.78
10.7615,535.07,524.22
10.7821,536.06,526.78
10.8025,537.05,527.42
10.823,534.64,526.54
10.8474,530.31,521.83
10.868,527.65,517.46
10.8888,524.32,511.57
10.9092,520.85,507.86
10.9296,516.08,502.69
10.95,514.07,499.55
10.9744,512.25,499.64
10.995,516,501.91
11.0156,516,503.13
11.036,518.2,508.1
11.0564,516.56,512.48
11.0769,511.65,517.99
11.1015,512.32,521.99
11.122,512.66,524.39
11.1424,510.32,526.51
11.163,508.86,526.41
11.1836,505.89,523.93
11.2079,504.91,520.54
11.2285,503.93,515.83
11.249,502.34,511.67
11.2694,502.47,506.73
11.2899,502.98,503.59
11.3104,498.58,500.67
11.3349,488.27,497.54
11.3555,482.81,499.23
11.3759,480.85,499.78
11.3964,480.48,503.63
11.4169,480.38,508.5
11.4414,482.91,513.4
11.462,486.53,517.12
11.4827,488.22,521.5
11.5031,488.18,524.2
11.5234,488.74,524.96
11.5439,488.99,523.97
11.5684,490.59,522.57
11.5889,482.08,520.06
11.6094,464.46,520.65
11.6298,439.57,522.72
11.6503,418.45,520.97
11.6749,402.16,519.58
11.6956,389.93,517.46
11.7159,383.94,517.37
11.7363,382.56,518.7
11.7568,385.04,536.16
11.7773,387.04,565.93
11.8019,391.03,594.54
11.8224,395.82,621.63
11.8431,402.66,640.11
11.8635,410.93,640.08
11.8839,422.54,624.67
11.9083,433.83,593.13
11.9289,447.07,556.71
11.9494,462.45,523.37
11.9698,475.56,493.89
11.9903,485.45,469.71
12.0108,491.96,451.97
12.0353,497.97,442.58
12.0558,504.37,437.86
12.0765,514.9,435.69
12.097,537.92,433.55
12.1175,571.54,433.64
12.1378,608.83,433.51
12.1623,633.86,440.21
12.1828,647.89,447.77
12.2033,651.11,457.21
12.2238,646.49,465.37
12.2443,638.99,473.7
12.2688,631.19,477.76
12.2893,616.95,482.01
12.3097,601.96,484.21
12.3303,590.37,483.36
12.351,579.1,481.09
12.3713,572.08,479.87
12.3957,570.26,480.7
12.4163,570.81,484.16
12.4368,568.05,486.13
12.4573,562.84,488.3
12.4778,558.07,490.24
12.5024,553.66,496.99
12.523,549.73,503.59
12.5434,546.58,509.08
12.5639,542.86,514.26
12.5843,540.29,517.01
12.6047,536.03,520.61
12.6292,533.03,521.09
12.6497,529.02,520.07
12.6703,525.42,517.45
12.6909,519.93,513.76
12.7114,517.55,508.41
12.7357,513.64,503.53
12.7564,511.51,500.42
12.7769,509.81,497.74
12.7974,511.25,497.59
12.8178,510.2,498.07
12.8382,511.36,497.46
12.8627,510.89,499.97
12.8834,511.71,503.57
12.9037,511.97,508.26
12.9242,515.77,513.01
12.9447,512.42,516.81
12.9692,511.14,520.44
12.9898,508.51,522.36
13.0103,510.01,519.68
13.0308,506.61,516.35
13.0513,504.08,513.48
13.0718,502.47,509.78
13.0963,499.37,510.83
13.1167,490.5,518.06
13.1372,467,551.85
13.1577,440,586.68
13.1782,413,612.14
13.1987,390.4,614.51
13.2233,379.92,602.41
13.2437,376.34,582.53
13.2643,375.87,558.22
13.2847,382.49,535.18
13.3052,395,517.14
13.3297,405.4,504.51
13.3502,414.92,493.61
13.3708,424.13,485.49
13.3911,432.91,479.39
13.4117,439.73,474.51
13.4322,446.98,469.01
13.4566,452.78,467.81
13.4773,454.83,464.45
13.4977,461.06,464.16
13.5182,468.45,464.93
13.5386,472.16,469.74
13.5631,476.93,475.79
13.5837,478.94,482.23
13.6042,492.95,487.79
13.6249,524.96,494.83
13.6452,561.77,499.26
13.6657,596.62,501.41
13.6903,618.29,504.13
13.7106,628.03,505.7
13.7311,628.43,505.16
13.7516,625.34,504.33
13.772,618.07,502.86
13.7965,608.46,501.09
13.8172,599.17,498.87
13.8375,591.73,495.9
13.8581,580.59,494.72
13.8786,570.87,490.38
13.8991,563.7,489.5
13.9236,558.36,489.6
13.9441,557.69,492.48
13.9645,557.95,497.18
13.9852,555.36,501.55
14.0056,554.09,505.24
14.03,549.47,510.59
14.0506,547.78,515.47
14.071,542.62,516.98
14.0916,538.9,518.18
14.1121,533.92,518.35
14.1324,529.13,516.68
14.157,526.71,512.34
14.1775,519.97,507.27
14.198,515.57,502.62
14.2184,513.06,499.49
14.239,511.85,497
14.2637,512.48,496
14.284,513.58,496.2
14.3046,511.47,498.36
14.325,511.17,503.29
14.3455,513.74,508.63
14.366,512.99,513.1
14.3905,511.59,517.48
14.411,510.67,520.79
14.4317,509.54,524.23
14.4519,507.83,526.38
14.4724,508.66,525.11
14.493,507.73,524.29
14.5174,499.79,522.43
14.5379,483.03,521.14
14.5585,458.22,517.91
14.5791,433.98,513.93
14.5996,413.38,509.95
14.6239,393.91,508.96
14.6444,380.92,508.96
14.665,373.34,510.57
14.6855,374.07,509.86
14.706,379.26,511.29
14.7264,387.81,512.43
14.7509,399.04,514.54
14.7715,408.44,517.03
14.7918,419.75,517.63
