Program Time [s],data 0,data 1
3.05348,501.06,513.67
3.05349,508.67,516.74
3.0535,508.09,526.79
3.05351,507.87,529.63
3.05352,508.7,530.71
3.05354,505.96,529.36
3.05355,503.16,526.49
3.05356,503.53,520.59
3.05357,501.83,513.67
3.05358,501.06,508.4
4.57122,511.4,502.32
4.59175,511.72,496.06
4.61225,509.58,489.04
4.63273,508.86,484.04
4.6532,509.69,482.83
4.67371,507.95,483.66
4.69826,506.96,487.73
4.71882,508.57,493.78
4.73931,507.45,501.23
4.75976,508.76,509.98
4.78026,508.81,518.99
4.80475,509.05,527.19
4.82536,507.04,532.35
4.84581,506.63,533.48
4.86627,507.11,530.78
4.88669,506.28,527.43
4.90729,506.63,521.34
4.93168,505.9,513.47
4.95237,506.12,504.98
4.9727,506.7,496.98
4.99322,505.96,490.79
5.01367,505.57,486.43
5.03817,505.85,484.74
5.05875,507.68,488.39
5.07929,509.15,495.12
5.0997,511.12,502.69
5.12012,511.09,510.55
5.14062,510.47,520.24
5.16511,512.18,525.59
5.18567,512.34,530.28
5.20615,510.28,532.62
5.22667,508.02,532.9
5.24709,506.62,531.32
5.27165,505.09,527.05
5.29213,514.27,521.44
5.31272,526.62,514.15
5.33312,533.5,506.32
5.35369,538.2,498.26
5.37407,541.56,491.61
5.39867,544.45,487.89
5.4192,544.36,487.91
5.43969,541.89,492.73
5.46009,540.91,498.18
5.48057,539.53,504.55
5.50503,536.22,513.04
5.52559,532.18,521.23
5.5461,528.94,526.58
5.56666,526.55,529.87
5.58704,524.84,529.69
5.60763,521.27,526.55
5.63209,516.42,521.04
5.65261,515.54,514.03
5.67308,515.23,504.63
5.69358,514.18,495.9
5.71408,513.75,490.52
5.73456,513.4,486.22
5.75904,513.52,484.37
5.77971,512.81,486.9
5.80007,514.05,491.92
5.82053,513.84,499.14
5.84103,512.67,506.91
5.86554,513.14,515.73
5.88609,513.71,522.18
5.90657,511.57,527.35
5.92708,510.65,530.68
5.94754,508.32,531.14
5.96798,506.46,527.11
5.99254,504.57,521.09
6.01309,504.45,518.67
6.03358,499.36,525.14
6.05399,483.69,534.51
6.07447,459.55,536.61
6.09896,435.84,534.09
6.1195,414.27,528.47
6.14002,395.62,521.58
6.1605,383.1,518.86
6.18107,378.68,517.89
6.20148,378.94,520.71
6.22605,383.75,524.97
6.24655,390.6,528.17
6.26695,399.08,531.54
6.28749,408.87,533.03
6.30798,416.89,535.63
6.33244,431.51,534.5
6.35295,457.61,524.6
6.37345,493.49,506.68
6.39393,529.79,488.54
6.4144,558.43,473.64
6.4349,576.35,462.11
6.45954,586.48,456.29
6.47995,590.58,453.83
6.50046,590.87,456.46
6.52089,590.09,463.77
6.54145,586.67,472.02
6.5659,580.14,481.81
6.58654,572.91,493.45
6.60691,564.93,502.76
6.62739,561.14,512.21
6.64787,554.71,517.77
6.66835,548.77,520.61
6.69286,544.62,519.29
6.7134,538.89,515.83
6.734,533.32,510.27
6.75447,534.05,502.61
6.77494,533.24,493.89
6.79943,532.99,486.11
6.82001,532.59,481.09
6.84053,531.08,479.27
6.86099,527.46,480.42
6.88144,526.57,484.33
6.90194,526.85,490.87
6.92637,526.48,499.29
6.94709,524.99,507.64
6.96743,522.99,516.51
6.98803,520.99,523.41
7.00835,518.79,527.53
7.02896,518.23,529.62
7.05334,515.19,529.7
7.07393,516.15,525.96
7.0945,514.72,521.17
7.11484,512.18,513.93
7.13532,509.74,505.95
7.15982,511.19,495.56
7.18038,509.35,488.45
7.20086,508.68,484.76
7.2214,510.35,484.01
7.24183,511.48,488.2
7.26234,512.98,494.56
7.28682,513.19,502.25
7.30734,514.95,510.4
7.32788,515.36,520.12
7.34833,514.29,528.1
7.3688,514.23,532.08
7.39328,510.98,532.06
7.41386,506.99,530.45
7.43437,506.19,525.96
7.45479,504.35,519.77
7.47524,504.88,511.81
7.49575,503.31,503.05
7.52024,501.04,495.04
7.541,501.04,491.63
