Program Time [s],data 0,data 1
3.21235,518.87,492.82
3.2124,518.7,498.86
3.21245,517.56,502.48
3.2125,516.45,505.59
3.21255,516.76,507.07
3.2126,518.01,506.26
3.21274,516.6,504
3.2128,514.68,500.4
4.72869,512.8,512.8
4.74931,514.24,514.04
4.76987,515.59,515.43
4.79014,515.27,515.35
4.81468,515.22,513.08
4.83518,514.38,512.06
4.85573,514.5,507.25
4.87614,514.4,502.4
4.89665,514.32,497.92
4.92116,514.46,492.74
4.94172,515.16,488.59
4.96223,515.13,486.47
4.98266,516.11,485.38
5.00312,516.28,486.1
5.02355,517.03,489.28
5.04811,517.62,493.42
5.06862,518.3,498.54
5.08913,519.24,502.83
5.10959,517.79,507.07
5.13011,517.63,510.65
5.15456,516.11,511.52
5.17509,516.48,511.22
5.1956,514.79,509.17
5.21608,514.03,506.14
5.23654,521.42,502.31
5.25711,531.54,498.65
5.28157,538.03,494.32
5.30214,539.83,490.66
5.32256,540.86,488.32
5.34306,539.69,487.26
5.36351,537.75,489.21
5.38805,537,492.17
5.40857,536,496.13
5.42906,534.6,500.51
5.44959,532.48,505.01
5.47005,530.78,510
5.49057,528.23,513.2
5.51506,527.38,513.76
5.53555,525.91,512.81
5.55607,523.92,510.25
5.57651,523.14,506.6
5.59704,520.91,501.88
5.62145,519.73,497.5
5.64205,517.78,492.8
5.66251,517.63,488.84
5.68307,518.5,486.87
5.70356,518,487.1
5.72399,518,488.28
5.74844,517.2,490.82
5.76907,516.56,495.26
5.78948,517.65,498.61
5.81014,517.32,502.89
5.83042,516.45,506.71
5.85099,515.96,508.37
5.87554,516.97,509.29
5.89609,517.38,509.43
5.91651,517.7,507.15
5.93701,515.96,502.92
5.95746,516.17,498.53
5.98198,515.74,494.03
6.00254,513.79,489.42
6.02308,512.83,485.74
6.04343,512.86,482.99
6.06393,514.69,482.19
6.08441,514.75,483.75
6.10894,514.6,486.8
6.12952,514.88,491.64
6.15001,516.31,496.71
6.17041,517.04,501.57
6.19095,517.84,506.06
6.21546,518.47,509.05
6.23595,517.97,509.44
6.25641,516.38,508.15
6.27694,515.3,505.52
6.29745,515.04,502.82
6.31785,516.03,499.45
6.34243,514.63,493.56
6.36295,513.3,488.65
6.3834,512.84,482.92
6.4039,505.67,479.54
