Program Time [s],data 0,data 1
7.11778,519.06,517.85
7.1178,513.53,516.08
7.11781,512.82,513.66
7.11782,511.66,512.53
7.11783,511.53,511.22
7.11784,510.42,511.18
7.11785,509.54,514.34
7.11786,509.63,518.47
7.11787,511.5,517.85
7.11788,519.06,516.08
7.11789,513.53,513.66
7.1179,512.82,512.53
7.11791,511.66,511.22
7.11792,511.53,511.18
7.11794,510.42,514.34
7.11801,509.54,518.47
7.11803,509.63,514.2
7.11804,511.5,516.56
8.63332,513.6,518.25
8.65382,514.88,520.6
8.67434,517.1,520.48
8.6988,516.68,518.78
8.71933,516.95,517.23
8.73981,517.16,515.78
8.76027,513.33,514.62
8.78079,512.46,513.3
8.80129,510.37,514.04
8.82576,509.69,513.83
8.84639,509.76,513.67
8.86681,511.6,513.73
8.8873,512.88,515.59
8.90777,515.11,516.67
8.93225,518.29,517.54
8.95278,518.03,518.23
8.97328,519.42,520.18
8.99378,520.34,520.75
9.01422,519.67,521
9.03471,518.14,521.2
9.05921,518.11,519.36
9.07978,517.69,517.29
9.10032,516.95,516.83
9.12071,516.96,516.06
9.1413,515.57,513.45
9.16574,513.05,511.56
9.1862,515.64,510.25
9.20677,528.31,509.8
9.22719,535.65,510.84
9.24768,541.12,512.87
9.26817,542.9,513.5
9.29273,543.52,514.6
9.31322,544.41,516.68
9.33379,544.93,518.34
9.35418,543.35,519.47
9.37469,540.08,520.18
9.39921,536.46,520.14
9.41968,534.57,519.31
9.44021,531.66,517.45
9.46089,527.92,515.76
9.48125,523.54,514.81
9.50173,520.63,514.25
9.52619,522.11,515
9.54672,523.08,514.2
9.56723,523.67,514.36
9.58763,520.93,515.09
9.60817,520.35,516.27
9.63262,521.28,518.42
9.65314,522.02,519.93
9.6737,522.42,520.75
9.69417,522.33,521.6
9.71464,521.47,521.48
9.73515,521.57,520.38
9.75961,520.06,519.31
9.78013,518.65,517.44
9.80074,515.12,516.36
9.82116,513.09,515.08
9.84159,512.68,514.07
9.86217,511.14,516.05
9.88664,513.11,521.84
9.90714,522.89,527.47
9.92761,542.31,533.18
9.94813,563.45,538.34
9.96856,584.96,543.28
9.99306,604.17,545.22
10.0136,620.53,547.98
10.0341,633.03,548.58
10.0546,638.22,549.06
10.0751,639.38,549.85
10.0956,636.3,552.08
10.1201,631.64,560.87
10.1406,626.71,577.29
10.1611,619.17,602.23
10.1815,612.14,631.79
10.202,605.91,663.43
10.2266,597.53,692.14
10.2472,586.62,715.51
10.2676,571.9,725.81
10.2881,556.52,723.25
10.3085,541.21,708.8
10.3291,523.97,685.04
10.3536,507.98,646.23
10.3741,492.18,589.19
10.3946,474.35,520.55
10.415,458.68,449.24
10.4355,442.34,389.59
10.46,430.87,353.07
10.4805,417.9,336.26
10.501,413.92,330.21
10.5215,414.13,332.17
10.542,417.51,339.53
10.5625,420.61,350.23
10.587,426.29,363.18
10.6075,434.03,377.74
10.628,442.42,392.4
10.6485,450.34,407.32
10.669,458.47,421.65
10.6934,465.38,435.92
10.714,475.7,448.54
10.7345,483.76,459.83
10.755,489.81,468.26
10.7755,495.65,477.01
10.7959,499.52,483.21
10.8205,503.01,488.17
10.841,504.81,492.33
10.8615,506.65,494.67
10.8819,506.72,496.53
10.9024,507.98,497.23
10.9231,509.38,498.58
10.9475,510.5,500.67
10.968,510,501.73
10.9885,512.2,503.99
11.0091,513.16,506.59
11.0294,513.93,510.67
11.054,515.14,514.34
11.0744,517.72,517.47
11.0949,520.17,519.98
11.1154,521.34,522.78
11.1359,522.47,525.02
11.1563,522.98,525.22
11.1809,521.98,523.98
