Program Time [s],data 0,data 1
5.19641,516.48,518.76
5.21689,516.98,521.01
5.23737,516.59,521.61
5.25786,513.67,523.69
5.27834,512.74,524.35
5.30291,514.99,524.08
5.32344,515.59,523.06
5.3439,516.27,521.05
5.36437,513.62,518.84
5.38485,514.09,518.07
5.40933,515.68,516.66
5.42986,516.34,517.13
5.45035,518.87,517.3
5.47084,517.9,518.64
5.49135,519.92,519.91
5.51178,522.33,523.13
5.53632,520.27,529.1
5.55687,514.01,535.08
5.57733,509.41,539.27
5.59784,506.33,541.41
5.61844,505.66,541.33
5.64283,505.53,539.46
5.66332,507.22,536.37
5.68388,506.58,533.7
5.70437,506.06,530.16
5.72477,507.45,527.13
5.74534,506.36,523.9
5.7698,507.49,521.92
5.79026,506.79,520.34
5.81084,509.63,519.67
5.83129,510.71,518.54
5.85177,513.56,520.23
5.87221,509.65,523.78
5.89675,499.92,524.83
5.91733,495.34,526.46
5.93776,493.87,526.77
5.95834,492.5,526.82
5.97873,491.2,526.65
6.00319,492.16,526.72
6.0239,495.13,526.78
6.04429,494.1,525.82
6.0648,493.88,524.26
6.08522,496.5,522.01
6.10577,497.8,520.2
6.13021,501.04,518.96
6.15074,504.83,518.57
6.17133,508.07,518.66
6.19167,509.45,519.93
6.21223,508.96,521.34
6.23673,510.57,522.47
6.25724,513.06,523.38
6.27772,516.05,524.7
6.29826,518.04,526.36
6.31871,517.23,525.49
6.33913,517.18,525.99
6.36369,516.15,524.99
6.38425,516.12,524.19
6.40468,514.69,523.36
6.42517,513.16,520.88
6.44574,513.92,518.11
6.47014,513.54,514.09
6.49083,517.03,514.67
6.51122,518.63,514.74
6.53173,519.3,514.99
6.55223,520.44,515.99
6.5726,520.35,516.19
6.59715,521.48,517.95
6.61771,522.79,521.36
6.63816,523.23,522.49
6.65869,522.38,523.39
6.67913,524.91,524.91
6.70359,526.32,526.93
6.72415,521.06,527.54
6.74464,528.45,523.04
6.76514,541.56,519.03
6.78559,551.25,515.42
6.80607,555.4,512.94
6.83062,553.72,511.35
6.8513,553.57,511.08
6.87166,550.66,510.46
6.89226,548.33,510.77
6.91263,545.66,512.22
6.93721,542.13,512.37
6.95763,539.7,515.3
6.9782,538.56,518.04
6.99867,536.05,520.03
7.01913,532.44,521.43
7.03957,528.75,522.94
7.06404,526,522.95
7.08456,524.4,523.36
7.10511,522.12,523.09
7.12554,523.1,521.87
7.14606,520.68,520.7
7.16653,518.54,518.76
7.1912,517.63,518.01
7.21162,517.51,517.21
7.23209,518.61,517.56
7.25256,519.48,517.65
7.27302,520.19,518.12
7.29757,521.15,519.7
7.31808,519.92,521.36
7.33854,521.34,523.29
7.35902,525.47,526.63
7.3795,526.18,527.9
7.40004,525.94,528.32
7.4245,525.35,528.26
7.44516,523.68,528.01
7.46552,523.75,526.41
7.48614,521.4,523.32
7.50649,520.72,522.46
