Program Time [s],data 0,data 1
7.28815,504.08,505.64
7.30874,500.06,500.91
7.3291,497.05,496.73
7.35362,496.44,493.58
7.37416,496.15,490.87
7.39467,495.92,491.29
7.41509,496.34,494.23
7.43558,494.87,497.99
7.46003,493.5,501.39
7.48059,493.8,504.51
7.50118,493.84,507.01
7.52162,492.87,509.01
7.54212,489.7,508.81
7.56267,487.96,507.25
7.58703,488.37,504.8
7.60764,488.49,501.84
7.62807,489.39,497.67
7.6487,488.12,494.14
7.66903,486.29,491.31
7.68953,484.23,488.85
7.71408,483.79,486.88
7.73457,484.83,487.7
7.75505,485.86,487.76
7.77556,486.29,489.81
7.79603,488.43,492.85
7.82055,488.95,496.28
7.84103,489.16,500.82
7.86153,489.73,505.06
7.88205,489.38,507.85
7.90249,493.1,507.48
7.923,499.28,504.18
7.94747,502.83,501.15
7.96802,505.26,498.52
7.98848,504.21,495.61
8.009,502.57,491.29
8.02955,501.25,487.83
8.05399,501.8,485.47
8.07448,500.84,484.57
8.09499,499.07,484.66
8.11551,498.06,485.33
8.13597,497.65,488.06
8.15644,497.92,492.45
8.18097,498.33,496.56
8.20153,497.47,500.45
8.22202,494.77,503.16
8.24249,493.42,505.73
8.26293,493.54,507.58
8.28739,493.83,506.66
8.30799,494.26,505.53
8.32853,493.81,502.83
8.34893,491.65,499.86
8.36941,489.52,495.89
8.38993,488.01,491.71
8.4144,488.21,489.57
8.43497,488.37,488.45
8.45541,487.9,489.76
8.47591,489.32,491.61
8.49642,489.05,494.09
8.51691,490.04,496.67
8.54142,489.83,498.34
8.56196,492.67,500.67
8.58242,495.73,502.94
8.60289,497.79,504.15
8.62336,497.83,505.92
8.64783,497.26,505.94
8.66837,496.01,504.55
8.68888,495.81,501.24
8.7094,494.85,499.19
8.72984,494.08,494.95
8.75031,493.26,492.56
8.77488,492.81,490.65
8.79541,492.65,489.92
8.81595,491.52,489.74
8.83643,491.21,491.19
8.85691,491.77,493.55
8.88132,491.62,496.24
8.90191,492.09,500.39
8.92248,492.68,514.91
8.94285,491.54,549.53
8.96333,488.83,591.83
8.98381,481.47,632.26
9.0083,474.57,652.21
9.02898,467.86,662.97
9.04936,462.09,664.77
9.06983,458.47,654.82
9.09041,457.58,633.85
9.11494,458.46,609.08
9.13538,459.97,588.27
9.15592,461.57,569.41
9.17641,464.46,555.53
9.19679,468.77,549.42
9.21732,471.21,559.94
9.24175,470.77,598.15
9.26228,465.62,638.12
9.28284,460.89,667.3
9.30338,454.32,687.44
9.32376,450.85,694.95
9.34831,454.28,681.76
9.36875,461.23,653.01
9.38936,473.58,608.81
9.40977,488.66,546.25
9.43034,504.93,470.2
9.45078,518.95,396.56
9.4752,528.76,335.65
9.49576,534.8,298.32
9.51629,537.24,281.05
9.53671,537,278.24
9.55724,534.4,285.19
9.57788,530.72,298.76
9.60224,528.17,315.4
9.62275,527.14,334.52
9.64322,523.71,354.02
9.66381,520.57,371.81
9.68415,517.06,387.45
9.70866,514.24,401.56
9.72921,509.8,413.65
9.74975,505.84,422.12
9.77023,502.87,429.1
9.79066,501.1,435.48
9.81115,498.48,440.18
9.83565,495.58,444.14
9.85622,494.46,449.12
9.87668,493.97,455.69
9.89715,492.98,462.15
9.91779,492.78,468.72
9.94215,492.63,475.58
9.96265,493.3,482.66
9.98316,493.64,489.13
10.0037,493.11,494.5
10.0241,493.89,498
10.0446,493.51,500.4
10.0692,491.61,501.92
10.0897,490.29,501.54
10.1101,489.43,499.63
10.1306,487.74,496.9
10.1511,486.4,493.92
10.1756,486.32,490.54
10.1961,486.05,487.23
10.2167,486.44,484.18
10.2372,487.55,483.75
10.2576,490.04,487.4
10.2781,491.83,492.52
10.3026,493.47,497.01
10.3231,494.77,500.81
10.3436,495.42,503.45
10.3641,496.34,507.36
10.3846,495.07,509.29
10.4051,494.25,510.23
10.4296,494,509.18
10.4501,493.4,507.35
10.4706,492.72,505.08
10.491,491.38,501.26
10.5115,489.9,497.21
10.536,487.52,492.77
10.5566,486.22,490.01
10.5771,485.97,488.61
10.5976,485.98,488.49
10.618,485.18,490.59
10.6385,486.75,493.47
10.663,487,496.38
10.6835,488.2,499.3
10.7041,489.36,502.64
10.7245,489.69,506.11
10.7451,487.35,507.09
10.7695,475.08,508.07
10.79,465.66,507.46
10.8105,459.53,505.17
10.831,456.22,502.53
10.8515,455.78,499.23
10.872,454.62,495.18
10.8966,454.7,491.55
10.9171,457.16,488.04
10.9375,460.33,486.63
10.958,462.26,486.3
10.9785,465.61,487.44
11.003,469.89,489.55
11.0235,474.31,492.24
11.044,477.45,495.59
11.0645,479.56,498.08
11.085,480.05,501.46
11.1055,480.64,502.97
11.13,482.31,504.37
11.1505,486.05,504.5
11.171,498.84,505.2
11.1914,509.27,504.16
11.2119,513.82,502.33
11.2325,516.05,498.86
11.257,518.04,495.69
11.2775,518.03,492.95
