Program Time [s],data 0,data 1
6.15512,511.84,513.44
6.17552,513.07,514.35
6.20011,513.46,515.88
6.22056,513.37,515.51
6.24104,510.69,514.4
6.26152,510.15,512.52
6.28204,509.32,510.82
6.30654,509.66,507.06
6.32708,508.13,504.24
6.34756,507.7,502.4
6.36808,506.16,500.52
6.38857,506.93,499.41
6.40901,507.54,498.93
6.4335,509.83,500.54
6.45402,509.47,503.84
6.47458,508.37,507.47
6.49502,509.5,511.37
6.51548,509.2,513.1
6.53999,508.36,514.08
6.56053,508.69,513.86
6.58106,508.55,511.09
6.60149,507.64,508.27
6.62203,506.11,505.02
6.64255,504.09,501.41
6.667,499.47,496.93
6.68756,496.58,492.75
6.70796,494.66,491
6.72848,493.93,490.8
6.74897,494.74,492.04
6.76948,496.39,494.63
6.79409,497.92,497.1
6.81446,498.53,500.48
6.83497,499.63,503.59
6.8555,501.1,507.07
6.87596,502.28,509.26
6.90051,503.22,511.4
6.92101,501.98,511.72
6.94151,502.98,511.18
6.96193,503.19,508.54
6.98247,503.15,505.83
7.00286,502.52,502.67
7.02749,501.82,500.33
7.04801,503.65,498.27
7.06849,504.12,497.61
7.08891,503.9,498.49
7.10943,505.72,501.79
7.13394,505.97,503.43
7.15453,507.18,505.95
7.17489,509.94,508.16
7.19539,509.95,510.13
7.21595,509.16,511.5
7.23641,509.73,512.6
7.26089,508.78,513.08
7.28143,507.43,511.86
7.30186,503.94,508.09
7.32244,503.35,503.27
7.34296,503.08,500.62
7.36731,503.47,498.09
7.38794,503.17,495.88
7.40841,504.94,494.7
7.42889,506.95,494.76
7.44939,508.16,495.61
7.46988,507.73,498.09
7.49432,509.18,500.87
7.5149,508.95,504.1
7.53533,509.36,507.68
7.55588,509.49,510.34
7.57637,506.59,511.47
7.59686,505.87,511.38
7.62139,504.5,510.7
7.64182,502.8,508.16
7.66237,501.84,505.13
7.68278,502.67,502.5
7.70328,504.54,499.8
7.72783,503.83,497.24
7.74849,504.66,496.99
7.76903,505.93,497.6
7.78931,506.54,499.68
7.80983,506.64,501.54
7.8303,507.31,504.83
7.85492,507.45,507.47
7.87534,507.76,511.17
7.89581,506.61,513.94
7.91636,508.28,514.95
7.9369,509.03,515.56
7.96126,509.02,514.45
7.98181,507.22,512.36
8.00232,506.57,509.49
8.02282,506.46,505.99
8.04321,506.97,504.39
8.06373,506.57,501.51
8.08823,506.86,500.01
8.10877,507.69,499.61
8.12931,508.35,501.09
8.14976,509.28,514.67
8.17022,511.42,544.34
8.19468,514.94,576.47
8.21521,518.75,598.97
8.23581,519.8,608.18
8.2563,522.04,604.74
8.27678,521.43,595.2
8.29725,519.15,582.16
8.32173,518.12,568.52
8.34225,515.49,556.02
8.3627,513.59,544.02
8.3835,511.88,533.41
8.40377,511.3,524.33
8.42815,511.24,518.66
8.4487,511.79,515.73
8.46925,512.43,514.79
8.48966,509.55,517.23
8.51016,512.84,517.98
8.53063,512.47,505.59
8.55512,517.58,484.47
8.57565,519.86,462.78
8.59623,519.69,450.02
8.61663,518.95,443.82
8.63711,519.56,442.45
8.65758,517.45,441.56
8.68213,516.56,442.85
8.70273,514.05,444.68
8.72322,510.64,446.94
8.74377,508.91,447.96
8.76427,508.53,450.96
8.78864,507.22,455.17
8.80925,507.18,460.14
8.82968,507.54,466.11
8.85019,508.63,472.49
8.87058,510.71,479.99
8.89109,510.97,484.19
8.91561,509.97,489.35
8.9361,507.58,493.68
8.95658,504.46,496.75
8.97709,505.17,499.2
8.99765,504.94,499.96
9.02236,504.35,497.97
9.0427,504.28,496.37
9.06332,502.62,495.1
9.08366,502.3,492.68
9.10416,503.04,492.54
9.1247,503.83,491.83
9.14926,503.86,492.27
9.16981,504.89,494.81
9.19016,507.31,497.45
9.21067,508.65,501.56
9.23104,509.72,505.25
9.25553,508.18,508.8
9.27613,509.54,512.04
9.29668,508.23,513.63
9.31725,507.79,514.91
9.33767,507.83,513.52
9.35807,508.06,510.82
9.38257,507.85,507.66
9.40317,506.08,504.52
9.42374,504.86,501.22
9.44406,502.69,499.18
9.46451,501.95,497.74
9.48906,502.96,497.99
9.50954,504.37,499.79
9.53007,504.3,502.04
9.55056,505.64,504.23
9.57099,505.31,506.78
9.59162,507.65,510.43
9.61604,510.52,513.14
9.63667,511.01,514.51
9.65717,508.41,515.61
9.67768,504.53,514.89
9.698,504.82,511.91
9.71855,503.66,508.73
9.74303,504.13,506.58
9.76357,501.9,503.87
9.78413,502.52,501.29
9.8046,502.02,498.43
9.82495,502.01,497.15
9.84945,503.61,498.12
9.86994,506.29,499.49
9.89051,506.03,502
9.91109,507.62,505.6
9.93145,508.7,507.88
9.95196,509.96,511.3
9.97666,509.37,513.84
9.99695,507.49,514.27
10.0174,504.6,513.62
10.0379,503.48,511.89
10.0586,503.98,507.92
10.0829,504.58,504.93
10.1034,506.07,501.35
10.1239,505.65,497.48
10.1445,504.72,495.78
10.1649,504.98,497.03
10.1854,505.98,497.62
10.2098,507.79,500.5
10.2305,509.43,503.6
10.2509,510.54,507.68
10.2714,512.03,511.94
10.2919,510.83,513.75
10.3164,508.06,514.4
10.3368,507.65,515.52
10.3574,506.72,515.22
10.3779,508.58,511.77
10.3983,506.26,509.82
10.4188,505.61,506.86
10.4433,505.89,505.68
10.4639,505.31,502.15
10.4844,507.05,499.72
10.505,506.64,498.57
10.5253,504.11,498.66
10.5458,506.49,501.33
10.5704,505.59,503.46
10.591,508.27,508.57
10.6113,508.22,510.46
10.6318,509.37,513.36
10.6525,511.3,515.09
10.6768,510.04,515.27
10.6974,512.83,514.02
10.7178,512.47,512.61
10.7384,512.17,509.09
10.7588,513.54,507.67
10.7792,509.03,504.34
10.8038,507.62,500.87
10.8243,503.9,498.7
10.8449,505.12,496.96
10.8653,506.3,495.37
10.8861,506.84,499.69
10.9103,504.87,502.15
10.931,504.1,502.92
10.9514,502.48,505.14
10.9718,502.38,508.11
10.9924,502.1,509.69
11.0127,498.68,511.15
11.0373,500.15,512.72
11.0578,498.92,511.78
11.0783,496.13,511.42
11.0988,495.91,507.74
11.1195,496.73,505.59
11.1437,496.38,499.47
11.1643,498.7,496.78
11.185,500.36,495.82
11.2052,501.09,495.86
11.2257,505.07,496.89
11.2463,505.06,497.91
11.2707,506.45,500.53
11.2913,502.16,501.42
11.3118,501.73,503.34
11.3322,501.58,505.87
11.3527,500.26,506.7
11.3734,498.21,506.56
11.3977,499.77,505.65
11.4182,499.62,503.52
11.4389,499.09,500.61
11.4593,498.47,498.49
11.4798,498.58,495.59
11.5043,499.46,494.07
11.5247,500.57,492.66
11.5452,501.86,492.13
11.5657,501.69,494.9
11.5862,503.75,497.12
11.6066,504.8,500.9
11.6311,503.64,503.92
11.6517,504.91,507.73
11.6722,506.13,510.59
11.6926,506.5,512.07
11.7131,506.8,512.46
11.7376,504.24,514.16
11.7585,505.59,511.93
11.7788,505.67,509.95
11.7992,505.94,516.16
11.8196,503.95,539.33
11.8402,500.56,570.46
11.8646,498.65,601.97
11.8852,495.12,623.57
11.9057,491.3,628.26
11.9261,488.84,621.61
11.9467,489.67,610.89
11.9711,491.34,599.11
11.9916,493.07,588.49
12.0121,494.45,578.99
12.0326,495.36,571.39
12.0533,496.09,565.71
12.0736,495.47,563.17
12.0981,493.58,567.54
12.1186,494.06,574.23
12.1391,498.45,570.18
12.1598,506.16,544.95
12.1802,514.33,500.56
12.2046,519.66,455.85
12.2251,524.93,419.28
12.2457,526.34,399.62
12.2661,526.88,390.9
12.2865,526.9,388.92
