Program Time [s],data 0,data 1
6.14228,510.54,478.29
6.16232,510.43,476.44
6.18282,509.95,476.75
6.2023,510.16,479.2
6.2222,509.32,482.96
6.24212,507.26,488.37
6.26244,507.01,493.69
6.28225,506.41,499.15
6.30223,505.93,504.72
6.32223,505.14,509.78
6.34203,503.51,514.82
6.36215,501.81,519.06
6.3831,501.45,522.45
6.40302,501.56,526.96
6.42307,501.65,528.97
6.44323,500.92,531.57
6.46322,501.73,535.86
6.48307,501.99,537.29
6.50314,500.39,540.83
6.52304,499.91,543.06
6.5431,500.73,545.25
6.56304,501.18,547
6.58314,500.95,548.6
6.60419,500.96,549.48
6.62411,500.17,549.58
6.64415,500.53,550.47
6.66503,500.63,551.97
6.6851,500.3,553.38
6.70514,501.04,554.3
6.72606,501.23,554.44
6.74614,501.19,555.15
6.76709,500.95,557.32
6.7871,500.56,558.06
6.80705,500.25,557.85
6.82711,499.6,556.48
6.84708,500.28,556.58
6.86705,499.62,556.67
6.8871,499.3,556.93
6.90705,498.24,556.55
6.92711,498.19,556.04
6.94707,497.55,555.83
6.96709,497.04,556.26
6.98712,498.03,556.61
7.00805,497.43,556.09
7.02817,497.54,555.67
7.04808,497.63,555.94
7.06822,497.51,557.15
7.08809,498.61,557.52
7.10824,498.48,557.42
7.12923,498.19,559.13
7.14904,498.55,558.91
7.16906,498.84,558.72
7.18911,499.27,559.58
7.20916,499.22,559.26
7.2301,497.57,561.81
7.25122,497.66,563.85
7.27208,497.53,565.68
7.29216,498.42,566.34
7.31214,499.54,566.47
7.33308,499.83,566.18
7.35309,500.06,566.94
7.37311,499.85,569.15
7.39307,500.28,569.72
7.41303,498.62,569.38
7.4331,497.9,569.7
7.45303,497.92,569.16
7.47323,497.14,568.93
7.49311,496.71,568.94
7.51302,497.57,569.76
7.53305,498.45,571.6
7.55302,498.36,574.48
7.57309,499.69,578.39
7.59324,503.35,582.31
7.61317,514.88,574.85
7.633,536.11,555.68
7.65333,561.68,530.14
7.67329,585.35,502.51
7.69317,603.28,476.61
7.7131,610.02,455.49
7.73302,608.42,439.79
7.75314,601.33,428.03
7.77412,588.67,425.23
7.79411,575.73,425.98
7.8141,561.79,430.18
7.8341,549.03,437.75
7.85399,539.42,447.4
7.87407,532.54,457.52
7.89408,527.03,469.41
7.91408,522.02,480.93
7.93411,517.22,490.75
7.9543,514.38,500
7.97405,510.3,509
7.99423,507.24,516.6
8.0141,504.79,522.68
8.03401,503.83,529.14
8.05405,503.87,534.91
8.07408,502.49,537.93
8.09404,500.6,541.94
8.11404,500.68,544.56
8.13404,499.74,546.24
8.15413,499.59,549.2
8.17405,500.27,552.36
8.1942,501.22,553.69
8.21404,500.78,553.95
8.23413,500.42,556.36
8.25505,500.74,557.69
8.27509,502.39,562.35
8.29512,496.31,587.88
8.3151,481.25,639.3
8.33504,461.6,709.24
8.35505,442.08,771.99
8.37504,428.06,822.2
8.39498,419.45,854.16
8.41506,419.76,853.33
8.43503,424.21,827.06
8.45504,431.57,789.85
8.47509,438.25,746.88
8.49513,445,704.9
8.51505,452.6,666.72
8.53504,458.28,634.78
8.55505,464.03,607.62
8.57504,469.82,586.5
8.59509,474.66,570.6
8.61505,478.13,559.48
8.63504,481.9,551.98
8.65504,481.92,547.59
8.67504,479.54,543.47
8.69523,479.03,540.78
8.71504,478.02,538.02
8.73503,479.02,537.22
8.75505,481.01,536.57
8.77505,483.41,536.26
8.79505,484.73,536.61
8.81505,486.58,537.49
8.83502,488.27,538.39
8.85504,489.61,540.91
8.87505,492.09,542.93
8.89505,493.67,544.74
8.91505,494.74,547.19
8.93514,495.19,550.96
8.95506,494.95,552.56
8.97505,494.96,557.45
8.99506,495.57,558.96
9.01517,496.06,558.17
9.03502,497.84,559.54
9.05509,497.28,561.23
9.07512,496.82,561.78
9.09507,496.46,562.63
9.11518,496.57,563.9
9.13513,497.05,564.12
9.15506,498.44,565.7
9.17527,498.35,567.36
9.19514,499.08,567.29
9.21525,499.47,567.83
9.23505,501.57,568.06
9.25505,501.86,569.25
9.27506,501.69,568.6
9.29508,503.15,569.48
9.31506,503.12,569.18
9.33513,502.7,568.75
9.35539,501.56,568.4
9.37505,499.85,567.92
9.39506,499.28,565.33
9.41504,499.02,567.27
9.43518,498.82,568.01
9.45505,500.05,567.41
9.47506,501.04,568.53
9.49504,500.63,568.62
9.51505,500.31,568.1
9.53506,499.85,568.28
9.5551,499.48,567.62
9.57506,498.98,566.9
9.5952,498.59,566.52
9.61512,498.47,567.02
9.6354,499.37,566.41
9.65505,499.1,564.93
9.67505,499.08,565.14
9.69523,499.06,565.71
9.71518,499.45,566.37
9.73518,499.16,566.9
9.75527,498.73,565.32
9.77505,499.58,563.25
9.79505,500.07,563.8
9.81504,500.45,562.84
9.83518,500.76,563.47
9.85504,500.21,562.58
9.87513,500.17,562.26
9.89506,499.13,562.21
9.91506,497.51,561.97
9.93539,496.81,561.77
9.95508,496.24,562.02
9.97507,496,562.02
9.99505,496.6,562.81
10.0152,497.68,563.25
10.0352,497.74,563.4
10.0551,499.79,563.72
10.0751,498.63,564.78
10.095,498.71,565.62
10.1151,498.37,565.7
10.135,498.29,565.56
10.155,498.43,565.05
10.1751,498.15,565.04
10.1951,499.12,565.63
10.2152,498.29,566.5
10.2352,498.84,569
10.2551,498.47,571.2
10.2754,498.17,574.76
10.2951,501.74,571.61
10.3151,512.79,555.89
10.335,527.83,531.71
10.3551,543.47,503.17
10.375,556.17,477.13
10.3951,566.14,453.11
10.4151,572.51,434.09
10.4352,575.81,421.27
10.4551,574.45,416.02
10.4761,570.16,416.41
10.4962,563.73,420.13
10.516,556.38,427.1
10.5361,549.7,435.88
10.5561,543.56,446.51
10.5761,536.85,457.21
10.597,532.08,469.56
10.617,526.26,480.25
10.637,522.61,489.6
10.657,518.89,499.88
10.6771,516.31,509.9
10.697,513.25,518.72
10.717,511.2,524.98
10.737,509.76,530.18
10.7572,508.81,534.75
10.7771,507.25,538
10.7971,506,540.8
10.8182,505,543.64
10.8381,503.6,545.51
10.8591,501.68,547.21
10.88,501.54,550.57
10.9,501.63,552.25
10.9202,502.51,553
10.94,501.41,554.4
10.96,500.92,555.72
10.98,500.14,557.58
11,500.71,558.66
11.02,499.37,564.33
11.04,492.7,591.26
11.06,478.56,642.01
11.0801,456.85,712.61
11.1013,436.28,774.69
11.1211,419.82,824.35
11.141,412.86,853.48
11.1611,412.69,848.98
11.1811,418.55,818.99
11.2012,427.24,778.19
11.221,435.39,736.35
11.241,444.71,696.88
11.261,453.17,662.11
11.2811,460.14,632.48
