Program Time [s],data 0,data 1
13.58670,417.12,588.46
13.60715,420.04,589.84
13.62705,420.20,585.61
13.64674,420.27,585.49
13.66713,427.18,590.28
13.68766,428.39,586.63
13.70631,423.43,582.79
13.72640,424.63,583.28
13.74779,423.93,583.87
13.76665,420.84,582.63
13.78660,420.37,582.64
13.80694,421.54,579.57
13.82622,418.76,584.88
13.84718,414.31,584.87
13.86588,413.80,585.30
13.88672,415.83,589.90
13.90622,414.97,590.35
13.92702,411.98,586.48
13.94746,412.39,586.30
13.96623,410.73,583.50
13.98676,413.69,583.70
14.00683,416.36,580.78
14.02590,416.05,579.04
14.04767,417.69,577.03
14.06762,415.42,574.44
14.08687,415.71,574.06
14.10621,419.24,570.36
14.12646,420.54,567.42
14.14725,417.19,566.14
14.16745,418.11,564.09
14.18745,415.32,562.57
14.20673,415.78,564.50
14.22766,418.23,563.79
14.24646,415.21,564.59
14.26666,415.67,562.90
14.28675,417.24,563.86
14.30723,418.67,563.02
14.32627,413.90,563.09
14.34622,415.89,561.65
14.36756,416.61,566.47
14.38740,415.05,566.69
14.40647,414.09,564.73
14.42651,411.13,568.88
14.44699,410.47,566.48
14.46733,412.52,568.05
14.48742,411.83,569.86
14.50720,410.09,573.10
14.52768,409.37,572.20
14.54677,412.89,575.94
14.56753,412.49,573.90
14.58633,409.48,571.85
14.60674,411.64,572.58
14.62662,411.44,575.61
14.64715,410.41,574.49
14.66718,409.48,574.85
14.68653,411.49,576.17
14.70723,414.71,574.07
14.72750,412.74,576.54
14.74696,413.05,573.83
14.76699,415.42,574.17
14.78635,413.96,573.24
14.80740,414.48,572.98
14.82726,412.62,574.96
14.84642,413.63,572.58
14.86619,411.63,573.24
14.88602,410.47,575.89
14.90606,409.74,574.76
14.92744,410.59,574.01
14.94688,410.77,572.53
14.96597,415.52,574.40
14.98700,413.13,572.60
15.00676,416.45,572.81
15.02597,414.84,572.88
15.04754,416.88,574.28
15.06767,417.42,573.62
15.08655,416.77,573.64
15.10561,417.13,576.07
15.12752,410.37,577.01
15.14638,395.50,573.46
15.16867,376.61,572.22
15.18702,357.17,568.01
15.20790,339.12,564.76
15.22704,323.20,558.79
15.24782,309.71,553.93
15.26755,304.65,543.46
15.28707,305.21,538.99
15.30727,305.70,528.51
15.32765,307.75,524.20
15.34879,316.07,522.23
15.36789,324.48,522.68
15.38843,329.95,520.33
15.40724,341.60,524.36
15.42812,348.22,527.80
15.44738,355.44,533.45
15.46885,362.95,537.20
15.48812,367.29,540.95
15.50868,374.85,543.41
15.52741,377.09,549.49
15.54851,384.80,551.01
15.56832,387.03,552.52
15.58885,393.42,556.57
15.60705,395.65,562.95
15.62765,398.13,563.00
15.64845,400.83,562.53
15.66777,403.24,564.67
15.68780,408.00,566.33
15.70688,406.08,566.83
15.72720,410.62,571.21
15.74869,408.60,571.70
15.76794,409.64,571.05
15.78812,413.54,574.04
15.80808,412.73,573.98
15.82723,412.83,576.84
15.84825,413.02,575.75
15.86671,417.08,578.16
15.88855,418.31,577.31
15.90852,418.83,576.81
15.92697,425.19,582.16
15.94858,442.40,594.05
15.96730,470.23,608.95
15.98701,496.42,624.24
16.00737,527.72,633.23
16.02782,551.19,642.22
16.04845,565.98,638.83
16.06712,566.18,636.17
16.08707,562.67,631.60
16.10870,556.52,630.60
16.12724,546.40,623.33
16.14702,532.28,618.93
16.16748,522.48,615.93
16.18700,509.87,611.96
16.20721,500.02,608.07
16.22720,491.58,605.72
16.24831,485.50,599.82
16.26851,473.92,598.69
16.28865,467.86,594.90
16.30792,461.78,593.83
16.32797,453.05,591.13
16.34824,450.83,590.13
16.36957,443.56,587.31
16.38891,443.23,587.10
16.41063,440.07,587.44
16.42936,439.10,583.13
16.44876,436.36,580.32
16.47011,431.78,581.01
16.49070,433.10,583.66
16.50974,430.38,580.29
16.53160,431.50,583.00
16.55091,429.13,580.46
16.57222,433.84,584.42
16.59104,432.39,581.69
16.61194,431.91,584.22
16.63185,429.92,583.98
16.65172,432.75,581.21
16.67112,432.10,584.45
16.69163,434.00,579.99
16.71359,434.30,580.67
16.73291,433.83,580.02
16.75346,436.09,580.22
