Program Time [s],data 0,data 1
5.07003,360.04,429.00
5.08957,356.31,427.86
5.10948,359.53,430.99
5.13033,356.13,429.59
5.14970,354.90,429.26
5.16997,358.08,430.94
5.18981,359.05,432.78
5.21055,356.17,432.83
5.22944,358.89,430.64
5.24981,360.87,433.72
5.27054,359.59,430.52
5.28879,361.89,434.87
5.30990,363.19,436.30
5.32931,363.39,434.52
5.35017,361.98,434.45
5.36934,359.10,437.09
5.39032,359.58,434.42
5.40902,361.04,434.92
5.43024,360.54,436.50
5.45015,359.17,436.57
5.46957,359.51,433.51
5.48952,361.19,434.51
5.51049,361.33,434.42
5.52948,359.81,436.40
5.55033,363.85,434.68
5.57030,361.07,433.11
5.58882,362.03,432.39
5.61009,360.82,432.92
5.62990,359.60,434.37
5.64986,363.00,436.24
5.67177,361.12,436.40
5.69105,361.86,434.70
5.71211,365.67,435.94
5.73161,363.69,436.01
5.75205,365.68,439.23
5.77096,366.07,443.00
5.79157,376.86,449.43
5.81108,393.31,463.28
5.83256,414.02,478.25
5.85112,436.27,487.68
5.87229,454.84,488.39
5.89237,465.79,487.15
5.91087,475.99,479.26
5.93264,477.01,471.13
5.95205,478.82,465.21
5.97192,475.66,457.60
5.99316,469.61,448.58
6.01180,464.35,440.75
6.03304,456.49,437.20
6.05342,446.19,435.59
6.07290,438.45,432.84
6.09198,428.71,431.12
6.11166,423.40,431.13
6.13287,418.10,430.23
6.15269,412.92,431.18
6.17376,407.81,431.86
6.19350,401.56,432.35
6.21191,395.34,430.62
6.23225,394.40,432.94
6.25221,389.25,430.54
6.27234,387.74,433.82
6.29231,386.24,432.05
6.31403,384.71,434.24
6.33340,383.24,434.47
6.35395,382.33,436.17
6.37474,381.34,438.12
6.39393,378.26,436.48
6.41556,379.54,439.46
6.43616,380.62,439.47
6.45504,379.41,437.72
6.47464,378.48,438.42
6.49612,377.96,438.93
6.51615,379.25,441.58
6.53544,379.46,442.97
6.55499,377.38,443.01
6.57489,376.33,441.03
6.59753,372.04,443.97
6.61715,356.05,447.49
6.63673,339.70,447.92
