Program Time [s],data 0,data 1
5.07549,885.21,1169.80
5.09585,827.26,1171.09
5.11515,792.03,1156.06
5.13489,746.78,1029.91
5.15562,705.15,988.86
5.17696,660.61,988.29
5.19563,641.97,915.57
5.21617,601.15,866.51
5.23529,578.32,830.02
5.25702,548.62,747.47
5.27695,536.75,668.61
5.29597,511.85,648.37
5.31711,494.66,622.60
5.33729,513.76,532.99
5.35707,548.37,511.39
5.37649,572.59,454.82
5.39620,596.06,378.84
5.41636,599.26,332.90
5.43668,612.47,328.96
5.45580,599.55,271.52
5.47815,564.46,291.81
5.49767,545.01,302.31
5.51885,520.97,247.64
5.54006,474.21,219.02
5.55937,477.43,183.98
5.57831,476.39,198.34
5.60024,429.01,217.99
5.61941,380.55,209.86
5.63840,350.44,228.52
5.65996,341.24,278.48
5.67895,315.81,250.79
5.70016,307.86,287.16
5.72039,280.88,263.78
5.73857,259.52,235.26
5.75901,261.92,242.04
5.78019,291.54,241.57
5.79948,295.47,237.09
5.81855,333.75,241.01
5.83868,353.60,206.76
5.85953,376.03,232.91
5.87882,391.02,189.75
5.89904,378.71,155.68
5.91994,360.50,129.81
5.93847,352.57,147.11
5.95937,325.45,163.62
5.97987,322.61,200.67
5.99982,311.01,240.34
6.01913,303.37,276.81
6.03935,292.98,281.65
6.05983,303.06,296.03
6.07993,303.29,302.04
6.10032,324.26,322.14
6.11891,335.16,355.62
6.14020,340.35,408.68
6.15940,355.53,448.12
6.18039,374.30,485.36
6.19958,378.11,501.73
6.21919,377.12,505.07
6.23999,385.57,501.41
6.25867,396.17,495.31
6.27962,407.18,502.20
6.30006,416.21,509.35
6.31988,433.00,529.33
6.34013,452.14,581.80
6.35978,463.09,618.10
6.37950,473.09,666.42
6.39835,479.36,694.20
6.41876,485.10,710.47
6.43912,488.58,701.72
6.45929,486.96,682.41
6.48022,485.85,659.85
6.49866,487.74,637.17
6.51954,495.52,624.40
6.54024,498.81,608.55
6.55899,504.36,597.04
6.57900,507.53,581.94
6.59995,510.68,576.59
6.61863,507.33,575.95
6.64023,499.11,579.01
6.65934,502.15,578.47
6.68009,501.37,580.95
6.69921,503.28,578.66
6.71860,501.36,576.06
6.73908,506.11,574.68
6.75987,509.82,565.37
6.77959,515.30,562.78
6.79889,520.24,561.12
6.82010,525.95,558.57
6.84133,535.11,559.23
6.85958,537.62,557.69
6.88097,540.77,554.01
6.90068,544.98,558.98
6.91993,548.81,559.91
6.94034,547.86,558.46
6.96117,549.83,559.99
6.98070,551.57,562.55
7.00083,552.07,560.49
7.01964,553.57,566.86
7.04082,555.55,569.88
7.05951,554.29,575.39
7.07996,555.44,576.99
7.10088,555.29,585.04
7.12230,559.02,586.40
7.14318,560.77,591.82
7.16219,560.69,588.41
7.18193,560.80,587.22
7.20330,565.36,587.61
7.22318,569.67,591.22
7.24327,572.33,589.28
7.26362,574.70,586.79
7.28295,575.64,589.73
7.30391,575.05,588.17
7.32449,576.15,586.19
7.34292,573.23,581.12
7.36349,580.63,581.93
7.38256,578.70,582.75
7.40323,575.79,582.61
7.42340,577.41,586.17
7.44541,576.37,584.73
7.46517,572.99,586.06
7.48505,573.79,589.36
7.50448,577.91,607.73
7.52474,579.65,636.41
7.54324,581.20,657.42
7.56500,576.95,685.85
7.58490,576.50,709.14
7.60409,581.29,721.16
7.62390,581.06,719.69
7.64373,581.06,721.80
7.66527,582.53,722.47
7.68431,580.54,719.01
7.70521,582.51,710.03
7.72507,582.78,701.82
7.74517,578.63,692.18
7.76530,577.83,679.56
7.78396,577.09,670.28
7.80377,577.61,663.67
7.82482,576.21,655.57
7.84459,577.67,648.62
7.86519,579.98,639.82
7.88464,580.22,638.10
7.90426,576.98,633.99
7.92437,576.70,627.58
7.94477,580.12,623.56
7.96409,580.84,627.13
7.98398,579.71,627.62
8.00439,577.58,626.56
8.02467,577.05,624.42
8.04411,577.23,622.66
8.06511,575.40,622.65
8.08514,577.65,616.82
8.10381,579.96,614.11
8.12368,578.01,610.93
8.14411,578.27,607.15
8.16333,578.13,607.39
8.18494,578.83,608.72
8.20354,575.74,607.46
8.22363,576.87,606.03
8.24616,574.67,606.98
8.26622,574.28,606.23
8.28528,571.65,606.90
8.30483,572.39,609.60
8.32475,573.37,603.45
8.34536,575.01,607.48
8.36623,574.19,607.74
8.38587,573.41,607.30
8.40449,572.32,604.23
8.42445,574.70,606.93
8.44456,578.81,609.93
8.46502,575.16,597.38
8.48453,571.83,562.64
8.50626,571.05,521.68
8.52497,565.26,485.69
8.54599,564.24,461.21
8.56547,565.87,447.58
8.58505,565.65,450.63
8.60449,568.38,454.73
8.62577,570.03,459.85
8.64517,572.15,469.78
8.66541,572.62,480.78
8.68439,570.99,487.68
8.70551,573.10,498.51
8.72558,572.53,509.46
8.74548,573.17,518.09
8.76566,574.15,528.61
8.78551,571.26,538.14
8.80563,571.52,546.96
8.82492,572.84,553.22
8.84513,575.32,561.26
8.86476,572.61,566.28
8.88568,575.25,568.20
8.90603,576.56,573.22
8.92618,571.99,569.28
8.94489,572.81,576.51
8.96594,573.03,574.59
8.98430,574.61,580.24
9.00528,574.49,578.93
9.02608,573.47,581.39
9.04578,574.26,579.19
9.06638,571.22,579.69
9.08533,567.45,579.01
9.10457,568.26,581.87
9.12529,569.38,586.03
9.14605,568.22,581.86
9.16537,570.01,580.87
9.18626,576.12,583.12
9.20480,574.32,589.84
9.22597,575.80,590.34
9.24478,576.68,587.31
9.26451,578.57,593.74
9.28592,587.23,596.74
9.30456,585.66,600.61
9.32483,586.74,604.25
9.34521,585.55,610.26
9.36435,588.28,609.86
9.38621,586.96,608.04
9.40542,584.83,610.29
9.42593,579.62,602.26
9.44746,581.92,601.15
9.46662,574.13,601.26
9.48629,572.86,596.85
9.50798,571.74,595.40
9.52758,568.76,594.85
9.54923,566.81,594.46
9.56776,560.91,594.63
9.58808,563.14,596.25
9.60728,565.24,596.26
9.62805,560.47,599.60
9.64769,561.09,597.98
9.66818,562.64,598.57
9.68868,565.66,601.03
9.70915,564.23,604.87
9.72880,560.42,603.74
9.74844,562.09,607.83
9.77010,556.15,606.64
9.79071,554.55,597.61
9.81210,558.87,601.12
9.83179,551.67,598.49
9.85123,550.08,595.33
9.87217,554.75,591.41
9.89057,555.16,591.95
9.91042,553.72,590.12
9.93182,553.26,591.26
9.95128,552.04,590.62
9.97186,553.16,587.62
9.99183,550.79,587.21
